,HARGA,LB,LT,KT,KM,GRS
440,6200000000.0,220.0,150.0,4.0,4.0,2.0
441,4600000000.0,200.0,147.0,4.0,3.0,1.0
442,12000000000.0,322.0,322.0,4.0,3.0,2.0
443,2500000000.0,94.0,78.0,2.0,2.0,2.0
444,2500000000.0,160.0,135.0,3.0,2.0,2.0
445,9200000000.0,450.0,700.0,8.0,4.0,2.0
446,6500000000.0,217.0,217.0,3.0,2.0,2.0
447,12000000000.0,450.0,700.0,8.0,4.0,0.0
449,4200000000.0,120.0,143.0,6.0,3.0,2.0
450,5500000000.0,200.0,221.0,5.0,2.0,2.0
451,3500000000.0,190.0,100.0,6.0,4.0,2.0
452,900000000.0,100.0,56.0,3.0,2.0,0.0
453,3500000000.0,350.0,100.0,4.0,4.0,2.0
454,7500000000.0,150.0,288.0,5.0,3.0,1.0
455,3500000000.0,235.0,140.0,5.0,4.0,2.0
456,14000000000.0,200.0,475.0,5.0,3.0,0.0
457,3500000000.0,210.0,170.0,6.0,2.0,2.0
458,4950000000.0,225.0,110.0,5.0,4.0,2.0
459,2600000000.0,210.0,91.0,5.0,3.0,1.0
460,4200000000.0,200.0,165.0,4.0,2.0,0.0
461,4200000000.0,150.0,100.0,4.0,4.0,0.0
462,1300000000.0,332.0,125.0,7.0,7.0,0.0
463,8500000000.0,550.0,440.0,8.0,5.0,5.0
464,8750000000.0,180.0,137.0,4.0,4.0,2.0
465,3900000000.0,200.0,130.0,3.0,3.0,1.0
466,6100000000.0,390.0,130.0,7.0,6.0,3.0
467,2500000000.0,150.0,90.0,3.0,2.0,1.0
471,3500000000.0,225.0,360.0,4.0,2.0,1.0
472,3500000000.0,200.0,145.0,8.0,8.0,3.0
473,4500000000.0,150.0,200.0,3.0,2.0,2.0
476,3200000000.0,150.0,86.0,5.0,4.0,2.0
477,6500000000.0,300.0,173.0,4.0,4.0,2.0
478,1900000000.0,130.0,135.0,5.0,2.0,1.0
479,5990000000.0,350.0,220.0,5.0,5.0,2.0
480,5500000000.0,300.0,173.0,4.0,4.0,2.0
481,16500000000.0,800.0,361.0,7.0,5.0,6.0
483,4499999744.0,250.0,140.0,5.0,4.0,2.0
484,3500000000.0,150.0,135.0,3.0,3.0,2.0
485,6000000000.0,220.0,150.0,4.0,4.0,2.0
486,3600000000.0,154.0,110.0,3.0,3.0,2.0
487,4300000000.0,180.0,135.0,4.0,4.0,2.0
488,7900000000.0,380.0,225.0,5.0,4.0,2.0
490,5000000000.0,320.0,150.0,5.0,5.0,3.0
491,3000000000.0,110.0,132.0,3.0,2.0,0.0
492,4900000000.0,280.0,170.0,5.0,4.0,3.0
493,3700000000.0,130.0,130.0,3.0,3.0,2.0
494,2900000000.0,160.0,160.0,3.0,3.0,1.0
495,3700000000.0,175.0,89.0,3.0,3.0,2.0
496,3600000000.0,100.0,180.0,4.0,2.0,1.0
497,2333333000.0,80.0,90.0,2.0,2.0,1.0
499,6500000000.0,275.0,150.0,4.0,5.0,1.0
500,6500000000.0,270.0,140.0,3.0,3.0,4.0
502,2850000000.0,102.0,96.0,3.0,2.0,2.0
505,1250000000.0,120.0,136.0,5.0,2.0,0.0
506,4000000000.0,194.0,194.0,3.0,3.0,1.0
507,6000000000.0,250.0,141.0,4.0,4.0,3.0
508,2600000000.0,147.0,154.0,4.0,3.0,1.0
509,3500000000.0,126.0,135.0,4.0,3.0,0.0
510,3500000000.0,170.0,112.0,3.0,4.0,2.0
511,12500000000.0,600.0,208.0,4.0,5.0,3.0
512,3950000000.0,260.0,133.0,5.0,5.0,2.0
513,2300000000.0,100.0,140.0,3.0,2.0,1.0
514,4000000000.0,216.0,135.0,5.0,4.0,1.0
517,8000000000.0,382.0,404.0,6.0,3.0,1.0
518,5000000000.0,180.0,127.0,4.0,4.0,2.0
519,7200000000.0,200.0,256.0,5.0,3.0,2.0
520,17500000000.0,800.0,365.0,5.0,4.0,6.0
521,14800000000.0,500.0,310.0,4.0,4.0,4.0
522,3750000000.0,196.0,196.0,7.0,5.0,2.0
523,6200000000.0,390.0,130.0,7.0,6.0,3.0
524,4000000000.0,200.0,160.0,5.0,4.0,2.0
525,6200000000.0,251.0,140.0,5.0,4.0,5.0
526,8000000000.0,252.0,200.0,4.0,3.0,2.0
527,8800000000.0,400.0,230.0,5.0,5.0,3.0
